,source,title,episodes,score,favorites,genres,start_date,total_duration
215,light_novel,Overlord,13.0,7.92,22686,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",2015-07-07,315
216,visual_novel,Higurashi no Naku Koro ni Kai,24.0,8.19,6981,"['Mystery', 'Supernatural', 'Suspense']",2007-07-06,588
217,manga,Akatsuki no Yona,24.0,8.03,14532,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",2014-10-07,576
218,manga,Mahoutsukai no Yome,24.0,8.07,10181,"['Fantasy', 'Slice of Life']",2017-10-08,580
219,original,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,1.0,8.41,6361,"['Drama', 'Fantasy']",2018-02-24,115
220,manga,Koukaku Kidoutai: Stand Alone Complex,26.0,8.43,8135,"['Action', 'Sci-Fi']",2002-10-01,650
221,novel,Josee to Tora to Sakana-tachi,1.0,8.45,4953,"['Drama', 'Romance', 'Slice of Life']",2020-12-25,98
222,manga,Gintama.,12.0,8.99,2526,"['Action', 'Comedy', 'Sci-Fi']",2017-01-09,288
223,manga,Katekyo Hitman Reborn!,203.0,8.14,15450,"['Action', 'Comedy']",2006-10-07,4872
224,manga,Yuru Camp△,12.0,8.27,9436,['Slice of Life'],2018-01-04,284
225,visual_novel,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,1.0,8.19,2365,"['Action', 'Fantasy', 'Supernatural']",2017-10-14,120
226,manga,Kimi ni Todoke,25.0,8.0,11690,"['Drama', 'Romance', 'Slice of Life']",2009-10-07,568
227,manga,Natsume Yuujinchou,13.0,8.32,14448,"['Drama', 'Slice of Life', 'Supernatural']",2008-07-08,312
228,light_novel,Log Horizon,25.0,7.94,9957,"['Action', 'Adventure', 'Fantasy']",2013-10-05,625
229,manga,Kamisama Hajimemashita,13.0,8.08,12970,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",2012-10-02,312
230,manga,Rainbow: Nisha Rokubou no Shichinin,26.0,8.49,8004,"['Drama', 'Suspense']",2010-04-07,589
